name,min_AIC,MSE
"Cincinnati, OH-KY-IN4br",176.2475222,36556.80577
"Clarksville, TN-KY_Overall",207.5188501,22522.14537
"Clarksville, TN-KY_Studio",182.5564545,9175.537023
"Clarksville, TN-KY1br",184.4174402,10506.08312
"Clarksville, TN-KY2br",198.3406817,18370.33556
"Clarksville, TN-KY3br",216.2398198,32047.09393
"Clarksville, TN-KY4br",230.8267702,53271.90436
"Cleveland-Elyria, OH_Overall",188.8535366,15442.9088
"Cleveland-Elyria, OH_Studio",172.3098519,8455.516973
"Cleveland-Elyria, OH1br",178.9404754,10163.87653
"Cleveland-Elyria, OH2br",192.269004,16169.62468
"Cleveland-Elyria, OH3br",201.6414541,23380.81139
"Cleveland-Elyria, OH4br",205.0795407,26243.70258
"College Station-Bryan, TX_Overall",224.956055,20171.37924
"College Station-Bryan, TX_Studio",212.9731516,12703.05472
"College Station-Bryan, TX1br",214.9257043,14253.54865
"College Station-Bryan, TX2br",214.8167345,18834.42237
"College Station-Bryan, TX3br",232.0388856,35131.88611
"College Station-Bryan, TX4br",245.1992223,58172.79786
"Colorado Springs, CO_Overall",197.4173505,34420.98651
"Colorado Springs, CO_Studio",162.3743407,14296.59713
"Colorado Springs, CO1br",181.8371485,18597.38927
"Colorado Springs, CO2br",194.4054341,29593.94879
"Colorado Springs, CO3br",199.4409995,53937.23647
"Colorado Springs, CO4br",219.2654371,78215.77128
"Columbia, MO_Overall",209.96263,18679.55056
"Columbia, MO_Studio",191.6787478,8985.134476
"Columbia, MO1br",204.5659587,11125.66997
"Columbia, MO2br",216.0259647,16217.87932
"Columbia, MO3br",226.7350322,25265.81538
"Columbia, MO4br",240.4681705,39029.11798
"Columbia, SC_Overall",212.1070881,35268.86569
"Columbia, SC_Studio",196.4208031,23679.14562
"Columbia, SC1br",203.6198036,25285.14464
"Columbia, SC2br",211.0812751,31853.08641
"Columbia, SC3br",218.4275816,45630.64998
"Columbia, SC4br",231.7043832,70491.53071
"Columbus, GA-AL_Overall",182.0211179,24885.19377
"Columbus, GA-AL_Studio",165.0491487,14230.10393
"Columbus, GA-AL1br",168.5409299,15575.817
"Columbus, GA-AL2br",178.6330137,21026.46835
"Columbus, GA-AL3br",189.9330027,34153.80595
"Columbus, GA-AL4br",207.8891484,63927.84138
"Columbus, OH_Overall",187.53757,23598.40748
"Columbus, OH_Studio",171.9053011,12503.3742
"Columbus, OH1br",174.8651598,15486.99367
"Columbus, OH2br",188.5114561,24272.60473
"Columbus, OH3br",197.8214645,31512.62142
"Columbus, OH4br",191.4062494,41262.10175
"Corpus Christi, TX_Overall",197.7597279,30999.87045
"Corpus Christi, TX_Studio",183.5845686,19456.01004
"Corpus Christi, TX1br",188.3075846,21048.82248
"Corpus Christi, TX2br",199.3636999,32058.78124
"Corpus Christi, TX3br",209.6190399,48748.38506
"Corpus Christi, TX4br",218.7951163,64546.50567
"Corvallis, OR_Overall",206.1149142,33157.28373
"Corvallis, OR_Studio",202.3234873,17131.16246
